id	title_en	title_jp	category	aniwatch_url
A0001	Pokemon		おすすめ・名作	
A0002	Evangelion	エヴァンゲリオン	おすすめ・名作	
A0003	The Melancholy of Haruhi Suzumiya	涼宮ハルヒの憂鬱	おすすめ・名作	
A0004	Puella Magi Madoka Magica	魔法少女まどか☆マギカ	おすすめ・名作	
A0005	A Certain Magical Index	とある魔術の禁書目録	おすすめ・名作	
A0006	The Quintessential Quintuplets	五等分の花嫁	おすすめ・名作	
A0007	Lycoris Recoil	リコリス・リコイル	おすすめ・名作	
A0008	JoJo’s Bizarre Adventure	ジョジョの奇妙な冒険	おすすめ・名作	
A0009	SPY×FAMILY		おすすめ・名作	https://aniwatch.co.at/anime/spy-x-family/
A0010	Oshi no Ko	推しの子	おすすめ・名作	
A0011	Chainsaw Man	チェンソーマン	おすすめ・名作	https://aniwatch.co.at/anime/chainsaw-man/
A0012	I Want to Eat Your Pancreas	君の膵臓をたべたい	感動系・ドラマ	
A0013	Clannad	クラナド	感動系・ドラマ	
A0014	Angel Beats!		感動系・ドラマ	
A0015	Violet Evergarden	ヴァイオレット・エヴァーガーデン	感動系・ドラマ	
A0016	Assassination Classroom	暗殺教室	感動系・ドラマ	https://aniwatch.co.at/anime/assassination-classroom/
A0017	Anohana	あの日見た花の名前を僕達はまだ知らない	感動系・ドラマ	
A0018	Your Lie in April	四月は君の嘘	感動系・ドラマ	https://aniwatch.co.at/anime/your-lie-in-april/
A0019	Takopi’s Original Sin	タコピーの原罪	感動系・ドラマ	
A0020	Kaguya-sama: Love is War	かぐや様は告らせたい	学園・青春・ラブコメ	https://aniwatch.co.at/anime/kaguya-sama-love-is-war/
A0021	My Teen Romantic Comedy SNAFU	やはり俺の青春ラブコメは間違っている	学園・青春・ラブコメ	
A0022	Rent a girlfriend	彼女、お借りします	学園・青春・ラブコメ	https://aniwatch.co.at/anime/rent-a-girlfriend-season-5/
A0023	The Pet Girl of Sakurasou	さくら荘のペットな彼女	学園・青春・ラブコメ	
A0024	Love, Chunibyo & Other Delusions!	中二病でも恋がしたい！	学園・青春・ラブコメ	
A0025	Shikimori’s Not Just a Cutie	可愛いだけじゃない式守さん	学園・青春・ラブコメ	
A0026	Alya Sometimes Hides Her Feelings in Russian	時々ボソッとロシア語でデレる隣のアーリャさん	学園・青春・ラブコメ	https://aniwatch.co.at/anime/alya-sometimes-hides-her-feelings-in-russian/
A0027	The 100 Girlfriends Who Really, Really, Really, Really, Really Love You	君のことが大大大大大好きな100人の彼女	学園・青春・ラブコメ	
A0028	My First Girlfriend is a Gal	はじめてのギャル	学園・青春・ラブコメ	
A0029	Love Hina	ラブひな	学園・青春・ラブコメ	
A0030	Tonari no Seki-kun: The Master of Killing Time	となりの関くん	学園・青春・ラブコメ	
A0031	Re:ZERO -Starting Life in Another World-	Re:ゼロから始める異世界生活	ファンタジー・異世界	
A0032	That Time I Got Reincarnated as a Slime	転生したらスライムだった件	ファンタジー・異世界	https://aniwatch.co.at/anime/that-time-i-got-reincarnated-as-a-slime/
A0033	Frieren	葬送のフリーレン	ファンタジー・異世界	
A0034	The Saga of Tanya the Evil	幼女戦記	ファンタジー・異世界	
A0035	Chillin’ in Another World with Level 2 Super Cheat Powers	レベル2からチートだった元勇者候補のまったり異世界ライフ	ファンタジー・異世界	
A0036	From Bureaucrat to Villainess: Dad’s Been Reincarnated!	悪役令嬢転生おじさん	ファンタジー・異世界	
A0037	Is This a Zombie?	これはゾンビですか？	ファンタジー・異世界	
A0038	Fullmetal Alchemist	鋼の錬金術師	アクション・バトル	https://aniwatch.co.at/anime/fullmetal-alchemist/
A0039	Hunter x Hunter		アクション・バトル	https://aniwatch.co.at/anime/hunter-x-hunter/
A0040	Fate/stay night		アクション・バトル	
